! I stole/borrowed this list from Greg Thompson below at the UCAR RAP site. Thus all credit for making this very long
! list goes to him. I just deleted some headers and rearranged some stuff to improve searchability.
!
! Edited for use in ClimoBuilder by: Warren Pettee
!
! Original Content:
!
! Author: Greg Thompson  NCAR/RAP
!         please mail corrections to gthompsn (at) ucar (dot) edu
! Date: 20 Feb 2015
! This file is continuously maintained at:
! http://www.rap.ucar.edu/weather/surface/stations.txt
!
! This file is organized by state alphabetically, then by Canadian
! province and then all other stations.  The file was compiled from lists
! of the following:
!      METAR sites
!      NEXRADs
!      rawinsonde sites
!      wind profilers
!      WFOs, RFCs, NCEP-Centers
!      AIRMET/SIGMET station list (VORs?)
!      ARTCCs (Air Route Traffic Control Centers - FAA)
!      old SAO sites for archive data access  (flagged in a special manner)
!
!   Country abbreviations from ISO 3166
!   source:  ftp://ftp.fu-berlin.de/doc/iso/iso3166-countrycodes.txt
!   another: http://www.iso.org/iso/en/prods-services/iso3166ma/02iso-3166-code-lists/list-en1.html
!
!   CD = 2 letter state (province) abbreviation
!   STATION = 16 character station long name
!   ICAO = 4-character international id
!   IATA = 3-character (FAA) id
!   SYNOP = 5-digit international synoptic number
!   LAT = Latitude (degrees minutes)
!   LON = Longitude (degree minutes)
!   ELEV = Station elevation (meters)
!   M = METAR reporting station.   Also Z=obsolete? site
!   N = NEXRAD (WSR-88D) Radar site
!   V = Aviation-specific flag (V=AIRMET/SIGMET end point, A=ARTCC T=TAF U=T+V)
!   U = Upper air (rawinsonde=X) or Wind Profiler (W) site
!   A = Auto (A=ASOS, W=AWOS, M=Meso, H=Human, G=Augmented) (H/G not yet impl.)
!   C = Office type F=WFO/R=RFC/C=NCEP Center
!   Digit that follows is a priority for plotting (0=highest)
!   Country code (2-char) is last column
!
!23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
!
CD,STATION,ICAO,IATA,SYNOP,LAT,LONG,ELEV,M,N,V,U,A,C,,
AK,ADAKNAS,PADK,ADK,70454,5153N,17639W,4,X,,T,,,,7,US
AK,AKHIOK,PAKH,AKK,,5656N,15411W,14,X,,,,,,8,US
AK,AMBLER,PAFM,AFM,,6706N,15751W,88,X,,,,,,7,US
AK,ANAKTUVUKPASS,PAKP,AKP,,6808N,15144W,642,X,,,,,,7,US
AK,ANCHORAGEINTL,PANC,ANC,70273,6110N,15001W,38,X,,T,X,A,,5,US
AK,ANCHORAGE/WFO,PAFC,AFC,,6110N,15002W,48,,,,,,F,8,US
AK,ANCHORAG/NIKISKI,PAHG,AHG,,6044N,15121W,74,,X,,,,,8,US
AK,ANCHORAGE/LAKEH,PALH,LHD,,6111N,14958W,22,X,,,,A,,7,US
AK,ANCHORAGE/ARTCC,PZAN,ZAN,,6110N,14959W,22,,,A,,,,8,US
AK,ANCHORAGE/MERRIL,PAMR,MRI,,6113N,14951W,41,X,,,,A,,7,US
AK,ANGOONSEAPLANE,PAGN,,,5730N,13435W,2,X,,,,,,8,US
AK,ANIAK,PANI,ANI,70232,6135N,15932W,26,X,,,,,,7,US
AK,ANNETTEISLAND,PANT,ANN,70398,5502N,13134W,36,X,,,X,A,,5,US
AK,ANVIK,PANV,ANV,,6239N,16011W,99,X,,,,,,7,US
AK,ARCTICVILLAGE,PARC,ARC,,6807N,14535W,636,X,,,,,,7,US
AK,ATQASUKBURNELL,PATQ,ATK,,7028N,15726W,29,X,,,,,,7,US
AK,ATKA,PAAK,AKA,,5213N,17412W,17,X,,,,,,7,US
AK,BARROW,PABR,BRW,70026,7117N,15648W,7,X,,T,X,A,,5,US
AK,BARROWARM-NSA,,,70027,7119N,15637W,7,,,,X,,,8,US
AK,BARTERISLAND,PABA,BTI,70086,7008N,14335W,2,X,,,,W,,7,US
AK,BETHEL,PABE,BET,70219,6047N,16151W,41,X,,T,X,A,,5,US
AK,BETHEL/88D,PABC,ABC,,6048N,16153W,49,,X,,,,,8,US
AK,BETTLES,PABT,BTT,70174,6655N,15131W,195,X,,T,,A,,6,US
AK,BIGRIVERLAKES,PALV,LVR,,6049N,15218W,12,X,,,,,,7,US
AK,BIRCHWOOD,PABV,BCV,,6125N,14931W,29,X,,,,,,7,US
AK,BREVIG_MISSION,PFKT,,,6520N,16628W,9,X,,,,,,7,US
AK,BUCKLAND,PABL,BVK,,6559N,16109W,7,X,,,,,,7,US
AK,CANTWELL,PATW,TTW,,6323N,14857W,668,X,,,,,,7,US
AK,CAPELISBURNE,PALU,LUR,70104,6853N,16608W,3,X,,T,,W,,6,US
AK,CAPENEWENHAM,PAEH,EHM,70305,5839N,16204W,161,X,,T,,,,6,US
AK,CAPEROMANZOF,PACZ,CZF,70212,6147N,16602W,146,X,,T,,,,6,US
AK,CENTRAL,PARL,,,6534N,14447W,284,X,,,,,,7,US
AK,CENTRAL,PACE,,,6534N,14447W,286,X,,,,,,7,US
AK,CENTRALAKPROF,,CEN,70197,6530N,14441W,259,,,,W,,,8,US
AK,CHANDALARLAKE,PALR,WCR,,6730N,14829W,585,X,,,,,,7,US
AK,CHEVAK,PAVA,,,6132N,16536W,23,X,,,,,,7,US
AK,CHIGNIKBAY,PAJC,AJC,,5619N,15822W,15,X,,,,,,7,US
AK,CIRCLE/PAFCRFC,PACR,CRC,,6550N,14404W,182,X,,,,,R,7,US
AK,COLDBAY,PACD,CDB,70316,5512N,16243W,30,X,,T,X,A,,5,US
AK,CORDOVA,PACV,CDV,70296,6030N,14530W,12,X,,T,,A,,6,US
AK,DEADHORSE,PASC,SCC,,7012N,14828W,15,X,,T,,A,,6,US
AK,DEERING,PADE,DEE,,6604N,16246W,5,X,,,,A,,7,US
AK,DELTAJUNCTION,PABI,BIG,70267,6400N,14544W,386,X,,T,,A,,6,US
AK,DILLINGHAM,PADL,DLG,70321,5903N,15831W,26,X,,T,,,,6,US
AK,EAGLE,PAEG,EAA,,6447N,14109W,268,X,,,,A,,7,US
AK,EARECKSON/SHEMYA,PASY,SYA,70414,5243N,17407E,31,X,,T,X,,,5,US
AK,EGEGIK,PAII,EII,,5811N,15723W,30,X,,,,W,,7,US
AK,EIELSONAFB,PAEI,EIL,70265,6440N,14706W,167,X,,T,,,,6,US
AK,ELFINCOVE,PAEL,ELV,,5812N,13621W,3,X,,,,,,7,US
AK,ELIMAPRT,PFEL,,,6437N,16216W,49,X,,,,,,7,US
AK,ELMENDORFAFB,PAED,EDF,70272,6115N,14948W,59,X,,T,,,,6,US
AK,EMMONAK,PAEM,ENM,,6246N,16431W,3,X,,,,,,7,US
AK,EUREKA,PAZK,AZK,,6156N,14710W,1003,X,,,,,,7,US
AK,FAIRBANKS,PAFA,FAI,70261,6448N,14753W,132,X,,T,X,A,,5,US
AK,FAIRBANKS/WFO,PAFG,AFG,,6448N,14753W,140,,,,,,F,8,US
AK,FALSEPASS,PAKF,,,5451N,16325W,6,X,,,,,,7,US
AK,FRBNKS/PEDRODOM,PAPD,APD,,6502N,14730W,790,,X,,,,,8,US
AK,FAREWELLLAKE,PAFK,FKK,70248,6232N,15336W,321,X,,,,,,7,US
AK,FORTRICHARDSON,PAFR,FRN,70270,6116N,14939W,115,X,,,,,,6,US
AK,FORTWAINWRIGHT,PAFB,FBK,,6450N,14737W,137,X,,T,,,,6,US
AK,FORTYUKON,PAFY,,70194,6634N,14516W,131,Z,,,,,,7,US
AK,FORTYUKON,PFYU,FYU,,6634N,14516W,131,X,,,,,,7,US
AK,FUNTERBAY,PAFN,FNR,,5815N,13454W,9,X,,,,,,7,US
AK,GALBRAITHLAKE,PAGB,GBH,,6829N,14929W,811,X,,,,,,7,US
AK,GALENA,PAGA,GAL,70222,6444N,15656W,46,X,,T,,,,6,US
AK,GAMBELL,PAGM,GAM,70204,6346N,17144W,8,X,,,,,,7,US
AK,GLENNALLENPROF,,GNA,70268,6207N,14558W,564,,,,W,,,8,US
AK,GOLOVIN,PAGL,N93,,6433N,16302W,8,X,,,,W,,7,US
AK,GULKANA,PAGK,GKN,70271,6209N,14527W,481,X,,T,,A,,6,US
AK,GUSTAVUS,PAGS,GST,70367,5825N,13544W,9,X,,T,,,,6,US
AK,HAINES,PAHN,HNS,,5915N,13531W,5,X,,T,,A,,6,US
AK,HAYESRIVER,PAHZ,HZZ,,6159N,15205W,305,X,,,,,,7,US
AK,HEALY,PAHV,HRR,,6350N,14900W,396,X,,,,,,7,US
AK,HOLYCROSS,PAHC,HCA,,6211N,15947W,21,X,,,,W,,7,US
AK,HOMER,PAHO,HOM,70341,5938N,15130W,28,X,,T,,A,,6,US
AK,HOONAH,PAOH,HNH,,5806N,13527W,9,X,,,,,,7,US
AK,HOOPERBAY,PAHP,HPB,,6132N,16609W,5,X,,,,,,7,US
AK,HUSLIA,PAHS,HSL,,6542N,15623W,55,X,,,,,,7,US
AK,HUSLIA,PAHL,,,6542N,15621W,65,X,,,,,,7,US
AK,HYDABURG,PAHY,HYG,,5512N,13250W,1,X,,,,,,7,US
AK,IGIUGIG,PAIG,,,5919N,15554W,28,X,,,,W,,7,US
AK,ILIAMNA,PAIL,ILI,70340,5945N,15455W,49,X,,T,,A,,6,US
AK,INDIANMOUNTAIN,PAIM,UTO,70173,6600N,15342W,389,X,,T,,,,6,US
AK,JUNEAU,PAJN,JNU,70381,5822N,13435W,5,X,,T,,A,,0,US
AK,JUNEAU/WFO,PAJK,AJK,,5822N,13434W,7,,,,,,F,8,US
AK,KAKE,PAFE,AFE,,5658N,13355W,9,X,,,,,,7,US
AK,KALSKAG,PALG,KLG,,6132N,16020W,17,X,,,,W,,7,US
